Modelo,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
DL 1: MLP Supervisado,0.9982,0.9993504441557529,0.7961165048543689,0.8367346938775511,0.8159203980099502,0.9796387621593375,0.7099194335036826
DL 2: Autoencoder,0.0071,0.9964888873283944,0.296,0.7551020408163265,0.42528735632183906,0.9591980292398332,0.28204459475333926
