Modelo,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
DL 1: MLP Supervisado,0.9998,0.999420666409185,0.8282828282828283,0.8367346938775511,0.8324873096446701,0.9768814672745857,0.7109204842266232
DL 2: Autoencoder,0.011,0.9971735542993575,0.3315508021390374,0.6326530612244898,0.43508771929824563,0.9615922128558796,0.28587723987840363
